시작,시작위도,시작경도,끝,끝위도,끝경도,,,,,,,,,,,,,,,,,,,,
칠곡IC네거리,36.1177909,128.3609605,"동천교,구암네거리",35.9313169,128.5615023,,,,,,,,,,,,,,,,,,,,
관음공원,35.9354272,128.5462814,관음로,35.9415586,128.5419881,,,,,,,,,,,,,,,,,,,,
관음공원,35.9354272,128.5462814,칠곡초교교차로,35.9449,128.551,,,,,,,,,,,,,,,,,,,,
관음공원,35.9354272,128.5462814,칠곡초교교차로,35.9449,128.551,,,,,,,,,,,,,,,,,,,,
관음중앙로,35.9427774,128.5468208,관음로,35.9415586,128.5419881,,,,,,,,,,,,,,,,,,,,
동천교,35.1683052,126.8636637,운암초등삼거리,35.9354,128.565585,,,,,,,,,,,,,,,,,,,,
만촌네거리,35.8589382,128.6461352,스타벅스 경산이마트점,35.8348664,128.720196,,,,,,,,,,,,,,,,,,,,
MBC네거리,35.8669646,128.6267757,두산오거리,35.8301079,128.6232215,,,,,,,,,,,,,,,,,,,,
수성네거리,35.8596598,128.6176101,수성시장네거리,35.8542993,128.6171103,,,,,,,,,,,,,,,,,,,,
청구네거리,35.8677977,128.6183876,수성네거리,35.8596598,128.6176101,,,,,,,,,,,,,,,,,,,,
황금아파트네거리,37.5371411,126.9456412,만촌네거리,35.8589382,128.6461352,,,,,,,,,,,,,,,,,,,,
황금아파트네거리,37.5371411,126.9456412,만촌네거리,35.8589382,128.6461352,,,,,,,,,,,,,,,,,,,,
황금네거리,35.838624,128.624411,황금아파트네거리,37.5371411,126.9456412,,,,,,,,,,,,,,,,,,,,
가창교,35.8051386,128.6234722,수성못오거리,35.8252471,128.6097507,,,,,,,,,,,,,,,,,,,,
상동교,35.8345515,128.6063619,수성못오거리,35.8252471,128.6097507,,,,,,,,,,,,,,,,,,,,
범안삼거리,35.8341,128.6707,연호네거리,35.8461624,128.6726886,,,,,,,,,,,,,,,,,,,,
두산오거리,35.8301079,128.6232215,동아스포츠센터,35.8260529,128.6294155,,,,,,,,,,,,,,,,,,,,
범물네거리,35.8211648,128.6395813,지산삼거리,35.8273,128.6441,,,,,,,,,,,,,,,,,,,,
차량등록사업소,35.5713648,129.3558936,효신네거리,35.8720475,128.6351914,,,,,,,,,,,,,,,,,,,,
만촌태왕아너스,35.8569608,128.6479205,세진로,35.8627997,128.6401711,,,,,,,,,,,,,,,,,,,,
선스포츠프라자,35.8506277,128.6375587,을지맨션,35.8509389,128.6349698,,,,,,,,,,,,,,,,,,,,
명덕로,35.8542604,128.6173864,수성소방파출소(수성롯데 동편길),35.8539383,128.6199989,,,,,,,,,,,,,,,,,,,,
어린이회관삼거리,35.8462171,128.6245265,신천시장,35.865134,128.618306,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구 고산1동 170-5,35.8371873,128.7130842,사월보성,35.8403306,128.7155181,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구 시지동 492-19,35.8364541,128.6971839,(주)지산자동차검사정비,35.8259385,128.6440435,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구 신매동 601,35.8317749,128.7059145,시지두성타운,35.8338311,128.7047693,,,,,,,,,,,,,,,,,,,,
시지동서,35.8462224,128.6964254,대구광역시 수성구 신매동 580,35.8366673,128.7051387,,,,,,,,,,,,,,,,,,,,
삼주협화,35.8379696,128.70788,창신대백,35.2446879,128.5996133,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구 달구벌대로 2637 삼부빌딩,35.85683,128.6509442,모명재,35.858387,128.6515617,,,,,,,,,,,,,,,,,,,,
수성뉴골든맨션,35.8515773,128.6122497,들안길,35.8389175,128.6184513,,,,,,,,,,,,,,,,,,,,
청솔로,35.8532091,128.6212,들안로,35.850478,128.6169246,,,,,,,,,,,,,,,,,,,,
수성3가화성파크드림,35.8579933,128.6183323,수성코오롱하늘채수성롯데캐슬사잇길,35.8600885,128.6158311,,,,,,,,,,,,,,,,,,,,
지산중학교,37.724511,126.752404,지산공원,36.7867754,127.0931663,,,,,,,,,,,,,,,,,,,,
지산협화타운,35.8211369,128.6359706,대구광역시 수성구 범물동 1328,35.8185939,128.6416117,,,,,,,,,,,,,,,,,,,,
범물청구타운,35.8200261,128.6430255,보성타운,34.7714563,127.0798944,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구 범물동 1328-1,35.8182754,128.6406674,지범로,35.8232445,128.6336788,,,,,,,,,,,,,,,,,,,,
범물3단지,35.825045,128.6486061,범물초교,35.8217026,128.6451405,,,,,,,,,,,,,,,,,,,,
우방만촌1차,35.8679983,128.6490428,청수로,35.8428821,128.6278122,,,,,,,,,,,,,,,,,,,,
